,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
ATP8A1,0.024439289,0.027095458,0.03340156,0.02584316,0.043781025,0.047823874,0.018530222,0.030397777,0.045978689,0.038206271,0.037536754,0.058639862,0.072326881,0.034863902,0.022696286,0.012886739,0.044613069,0.007182395,0.046554714,0.017647529,0.034201066,0.047942429
GUF1,0.064526546,0.075902127,0.068406447,0.058193582,0.162235177,0.073675354,0.108265342,0.089153977,0.101436824,0.097902552,0.104220829,0.08244181,0.162899111,0.074100428,0.067075027,0.022640793,0.08754859,0.025585802,0.109892354,0.102896735,0.059812535,0.077995753
COMMD8,0.172974132,0.2766821,0.365265505,0.296953742,0.439433949,0.431379489,0.28970903,0.448042383,0.483004956,0.464348053,0.454361948,0.267891538,0.500055341,0.249279904,0.286145505,0.090053553,0.205464078,0.154446321,0.41966567,0.40634442,0.41321328,0.240269151
ATP10D,0.107515883,0.165054516,0.168550064,0.076663308,0.161745274,0.108003687,0.090525052,0.09524863,0.135320348,0.111079426,0.093872789,0.125604339,0.220127765,0.092528919,0.10132549,0.099462157,0.244209869,0.030616534,0.13087986,0.106087113,0.03320533,0.287467801
SLAIN2,0.311195698,0.34035786,0.236482865,0.156736228,0.409755512,0.20961766,0.526430088,0.294279165,0.257931394,0.342298861,0.262194803,0.241956647,0.549746611,0.272989238,0.311035762,0.146293553,0.204973229,0.090060958,0.334196039,0.284268441,0.198731792,0.492001569
FRYL,0.25633319,0.234889773,0.127718396,0.114558161,0.278572641,0.143548139,0.189744925,0.192483723,0.158603615,0.153434835,0.191849475,0.285408023,0.447393203,0.211398791,0.122337076,0.10436361,0.36602784,0.048630224,0.218546782,0.218648931,0.082820186,0.34342933
OCIAD1,0.633575055,0.779050766,0.88731155,0.647728436,2.142275156,1.351529684,1.564566538,1.655224048,1.033984467,0.957057215,1.18288233,0.798924017,0.99364182,0.762662556,0.508273486,0.235884842,0.748264991,0.49324812,1.626763147,1.623906671,0.75107844,0.494831345
OCIAD2,0.021834026,0.062238113,0.495669848,0.195150355,0.101971223,0.296501855,0.046028125,0.177129755,0.309277994,0.260757994,0.155772937,0.053467936,0.063167643,0.041528824,0.096823591,0.072167995,0.02959703,0.033954035,0.06542701,0.039764709,0.124043168,0.089245674
SGCB,0.071747348,0.01472792,0.025111621,0.017328452,0.015618247,0.041742306,0.011397442,0.016284376,0.036076475,0.029816486,0.019624361,0.003779898,0.03029481,0.006486269,0.022318205,0.008204187,0.009487878,0.00572058,0.019193208,0.005157175,0.021440578,0.003782334
SPATA18,0.01239069,0.005843709,0.026781125,0.019022675,0.021705448,0.037666915,0.026104649,0.012441474,0.053564149,0.07821847,0.020804625,0.001860667,0.009705721,0.000295021,0.020943734,0.0024428,0.005793917,0.004577796,0.011561949,0.004452829,0.053234695,0.000146063
USP46,0.0610038,0.058303758,0.059298645,0.033763268,0.075096308,0.048086965,0.047330914,0.044001264,0.05738156,0.065202726,0.060301448,0.058822551,0.100334605,0.055927209,0.077319611,0.058175612,0.034689928,0.017272912,0.048465177,0.043611298,0.025747206,0.008586307
FIP1L1,0.234994473,0.220766998,0.242212656,0.147318606,0.415275439,0.266183917,0.437741532,0.261207674,0.234221045,0.261194326,0.354897007,0.243439591,0.368839555,0.191215486,0.15034507,0.082884944,0.23382467,0.080042113,0.285861572,0.286104531,0.073129959,0.283776994
