geneName,ipf_n,control_n,ipf_mean,control_mean,ipf_sd,control_sd,contrast,diff,SE,tratio,pvalue
HIVEP2,103,103,6.283232138,6.474345582,1.266569494,1.485071053,ipf - control,-0.226508037,0.196985315,-1.149872704,0.251611824
FMO1,103,103,7.654279729,5.806010611,1.154705861,1.719884997,ipf - control,1.933771001,0.209603535,9.225851101,4.85E-17
ELOA,103,103,9.72524432,10.21023592,0.372267145,0.437434083,ipf - control,-0.48033287,0.057646957,-8.332319577,1.42E-14
LYPLA2,103,103,10.35529056,10.17718241,0.55595932,0.416141276,ipf - control,0.174320574,0.071631618,2.433570237,0.015856754
CLCN6,103,103,7.553149719,7.871545,0.876091554,0.704038976,ipf - control,-0.312770241,0.114615687,-2.728860678,0.006939486
AC080038.1,103,103,11.2633333,11.20840218,0.742400558,0.601487921,ipf - control,0.07344674,0.09690625,0.757915413,0.449421298
NME1-NME2,103,103,9.34530268,8.847278895,0.744933492,0.95324123,ipf - control,0.515959302,0.119327191,4.323903855,2.45E-05
SLC6A7,103,103,0.585224428,0.421126443,0.934596123,0.728466069,ipf - control,0.200379541,0.117702227,1.702427777,0.090276919
TSPAN9,103,103,8.583648532,9.074741308,0.609678509,0.582313997,ipf - control,-0.508692391,0.084835273,-5.996236878,9.70E-09
BTBD7,103,103,8.356573515,8.571893273,0.405943654,0.311023652,ipf - control,-0.202640952,0.051641845,-3.923968094,0.000120867
APBA3,103,103,8.965629001,9.201970499,0.622043312,0.488720092,ipf - control,-0.220676373,0.080668951,-2.735580065,0.006804616
MKS1,103,103,9.612598086,9.394402284,0.8697327,0.67286487,ipf - control,0.226384591,0.111386938,2.032415966,0.043474622
ABHD5,103,103,4.120449845,5.338140334,1.509161297,1.339120352,ipf - control,-1.229747556,0.200964776,-6.119219393,5.10E-09
ANOS1,103,103,7.047573953,7.172671912,0.765938941,0.714750802,ipf - control,-0.11449354,0.104998251,-1.090432833,0.276875051
AKAP8L,103,103,11.00389346,11.10698057,0.824707102,0.596541591,ipf - control,-0.075024893,0.103843421,-0.722480946,0.47086886
MBTD1,103,103,7.769897948,8.124390775,0.582892026,0.55197722,ipf - control,-0.336214723,0.081344489,-4.133220673,5.32E-05
UTP18,103,103,7.757225595,7.852260325,0.702421105,0.605630851,ipf - control,-0.100475966,0.092063494,-1.091376853,0.276460668
RNF216,103,103,9.374532213,9.497257005,0.323225358,0.307602734,ipf - control,-0.106435985,0.04570945,-2.328533502,0.020913962
TTC19,103,103,10.13075204,10.40142517,0.430790862,0.303647298,ipf - control,-0.268936233,0.054368888,-4.946509732,1.63E-06
PTBP1,103,103,12.19818637,12.44787205,0.32246223,0.322862482,ipf - control,-0.239366364,0.046833207,-5.111039369,7.65E-07
DPF1,103,103,5.735095901,5.050218193,0.780456178,0.65249443,ipf - control,0.691698962,0.101426553,6.819702973,1.13E-10
SYT7,103,103,7.024908563,6.658268319,0.704578777,0.830898756,ipf - control,0.381038446,0.110764279,3.440084205,0.000711927
LARS2,103,103,5.968400744,5.808856624,0.930412702,0.869158608,ipf - control,0.203579919,0.129482735,1.572255327,0.11752082
PIK3C2A,103,103,9.357098196,9.929651407,0.640941247,0.548276648,ipf - control,-0.57636683,0.086241921,-6.683139971,2.42E-10
PLAUR,103,103,10.30855113,10.268567,0.893250677,0.86006598,ipf - control,0.01297311,0.123217453,0.105286301,0.916257412
ANLN,103,103,5.669451871,4.499096848,1.028548551,1.638896391,ipf - control,1.155161401,0.198238235,5.827137232,2.31E-08
